name ,,SITE_NAME (MS names),Licence Site ID (SEPA site name),Site ID ,Remarks,LAT,LONG,Nat Grid,Year of highest production DURING APRIL and MAY ,CAR licensed peak biomass,biomass 1st May of 1st year of production,biomass 1st May of 2nd year of production,Operator,Production cycle regularity of cycle timing ,Model now (GO),Map but do not model (NOGO) includes farms not used for ten years,Map but model in second phase (WAIT),Production in 3 years to 2021,Licence but never stocked,Any production more than 3 years ago but less than ten years (to 2021)?,01/01/2002,02/01/2002,02/02/2002,03/01/2002,03/02/2002,03/03/2002,04/01/2002,04/02/2002,05/01/2002,05/02/2002,06/01/2002,06/02/2002,07/01/2002,07/02/2002,08/01/2002,08/02/2002,08/03/2002,09/01/2002,09/02/2002,09/03/2002,10/01/2002,10/02/2002,11/01/2002,11/02/2002,11/03/2002,12/01/2002,12/02/2002,12/03/2002,01/01/2003,01/02/2003,01/03/2003,01/09/2003,02/01/2003,02/02/2003,02/03/2003,03/01/2003,03/02/2003,03/03/2003,04/01/2003,04/03/2003,05/01/2003,05/03/2003,06/01/2003,06/03/2003,06/09/2003,07/01/2003,07/03/2003,07/09/2003,08/01/2003,08/03/2003,09/01/2003,09/03/2003,10/01/2003,10/03/2003,10/09/2003,11/01/2003,11/03/2003,12/01/2003,12/03/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,02/01/2004,02/04/2004,03/01/2004,03/03/2004,03/04/2004,04/01/2004,04/04/2004,05/01/2004,06/01/2004,07/01/2004,08/01/2004,09/01/2004,10/01/2004,11/01/2004,12/01/2004,01/01/2005,02/01/2005,03/01/2005,04/01/2005,05/01/2005,06/01/2005,07/01/2005,08/01/2005,08/10/2005,09/01/2005,10/01/2005,11/01/2005,12/01/2005,01/01/2006,02/01/2006,02/10/2006,03/01/2006,04/01/2006,05/01/2006,06/01/2006,07/01/2006,08/01/2006,09/01/2006,09/06/2006,10/01/2006,11/01/2006,12/01/2006,01/01/2007,02/01/2007,03/01/2007,04/01/2007,05/01/2007,06/01/2007,07/01/2007,08/01/2007,09/01/2007,10/01/2007,11/01/2007,12/01/2007,01/01/2008,02/01/2008,03/01/2008,04/01/2008,05/01/2008,06/01/2008,07/01/2008,08/01/2008,09/01/2008,10/01/2008,10/09/2008,11/01/2008,12/01/2008,01/01/2009,02/01/2009,03/01/2009,04/01/2009,05/01/2009,06/01/2009,07/01/2009,08/01/2009,09/01/2009,10/01/2009,11/01/2009,12/01/2009,01/01/2010,01/10/2010,02/01/2010,03/01/2010,04/01/2010,05/01/2010,06/01/2010,07/01/2010,08/01/2010,09/01/2010,10/01/2010,11/01/2010,11/10/2010,12/01/2010,12/10/2010,01/01/2011,02/01/2011,03/01/2011,04/01/2011,05/01/2011,06/01/2011,07/01/2011,08/01/2011,09/01/2011,10/01/2011,11/01/2011,12/01/2011,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021
Sgian Dubh,,Sgian Dubh,SGND1,FS1281,,55.92861,-5.07645,,EVEN,2437,422,2184,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1398,1546,1692,1983,2142,2174,1973,1510,832,81,nan,nan,nan,nan,nan,nan,98,106,175,334,532,782,1049,1047,1209,1336,1460,1567,1248,1284,1504,1708,1042,367,nan,nan,nan,nan,56,102,191,300,466,743,1006,1143,1446,1490,1642,1812,1945,1814,2013,2033,1785,1449,1212,1254,nan,nan,29,38,88,157,282,422,600,994,1225,1805,1977,1994,2061,2183,2151,2242,2008,2184,2190,1872,1275,425,nan,nan,nan,nan,nan,67,125,196,317,579,924,1365
Shuna,,Shuna,FFMC18,FS0695,,56.59283,-5.3806,,EVEN,800,145,363,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114,nan,208,nan,nan,303,nan,nan,381,nan,542,nan,nan,639,nan,nan,683,nan,nan,nan,734,nan,nan,796,nan,nan,753,nan,725,nan,694,nan,nan,722,nan,nan,713,nan,746,nan,797,nan,nan,60,nan,nan,nan,nan,nan,nan,nan,12,nan,15,nan,nan,30,nan,52,75,114,181,260,346,488,623,640,693,710,747,693,758,691,662,nan,761,656,379,153,nan,nan,nan,nan,22,31,47,73,125,218,nan,287,359,426,437,490,607,699,771,797,698,618,690,490,373,367,38,nan,nan,nan,17,23,41,93,142,215,nan,284,354,392,427,521,638,759,782,796,782,776,589,582,401,410,nan,197,nan,21,25,38,79,116,176,275,377,nan,441,nan,501,556,651,742,781,794,799,756,790,789,640,500,322,nan,nan,nan,nan,nan,nan,32,72,132,215,295,418,532,608,648,475,407,527,694,755,797,679,491,158,nan,nan,25,46,81,137,220,299,378,405,433,480,501,598,626,722,581,277,nan,nan,nan,nan,nan,nan,nan,18,18,49,89,155,251,363,406,461,542,583,675,746,765,760,744,759,624,616,591,406,nan,17,26,34,49,72,97,165,244,314,378,484,583,652,696,764,800,793,790,738,424,nan,nan,nan,nan,nan,20,50,90,145,193,272,363,476,588,715,796,835,849,744,686,363,308,nan,nan,nan
Shuna Castle Bay,,Shuna Castle,FFMC33,FS0465,,56.2267,-5.59246,,EVEN,894.9,296,381,Kames Fish Farming Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,68,nan,100,nan,nan,166,nan,nan,275,nan,nan,nan,314,nan,nan,295,nan,nan,266,nan,131,nan,157,nan,nan,166,nan,nan,199,nan,261,nan,305,nan,nan,281,nan,256,nan,276,nan,nan,nan,219,nan,231,nan,nan,238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103,165,214,nan,242,303,307,267,328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,48,85,129,183,222,229,nan,nan,nan,nan,nan,nan,nan,47,98,155,194,259,292,379,557,437,510,nan,481,546,515,488,374,313,144,nan,nan,214,287,325,386,436,491,nan,529,601,577,438,498,208,nan,nan,35,53,nan,80,nan,109,137,167,206,258,320,410,553,633,740,750,806,845,748,558,401,260,nan,nan,nan,nan,23,28,50,64,85,104,124,157,206,259,343,415,508,633,784,783,797,385,394,456,496,423,87,nan,nan,35,94,150,183,212,199,253,300,309,378,437,469,478,275,178,146,152,67,64,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,227,283,359,433,433,585,584,491,373,311,272,291,257,225,nan,nan,nan,nan,nan,nan,nan,nan,82,170,205,289,364,409,437,483,521,459,441,421,350,422,381,124,44,nan,nan,nan,nan,nan,nan,129,148,232,296,417,512,584,593
Sian Bay,,Sian Bay,SIAN1,FS0361,,58.52101,-4.66895,,ODD,995,128,920,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,190,nan,226,nan,nan,267,nan,nan,415,nan,497,nan,611,nan,nan,752,nan,735,nan,709,nan,nan,nan,761,nan,684,nan,nan,692,nan,590,566,625,346,74,nan,nan,nan,nan,nan,nan,nan,nan,173,268,343,nan,439,553,693,668,746,719,nan,713,684,494,671,644,573,350,nan,238,223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86,106,125,139,159,149,169,64,77,86,81,90,nan,96,105,119,125,21,nan,11,37,55,115,160,204,272,322,376,nan,422,339,398,482,599,637,706,851,901,901,nan,705,nan,514,444,405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,234,299,418,488,547,625,675,748,842,853,853,797,432,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,197,304,373,476,580,673,794,815,875,925,906,717,243,nan,nan,nan,nan,2,1,1,nan,31,48,73,102,160,263,272,440,502,577,687,788,835,875,972,935,789,496,183,nan,nan,nan,nan,nan,nan,17,36,54,85,133,224,342,487,615,629,592,644,681,753,755,748,615,567,598,595,220,nan,nan,nan,nan,74,128,179,282,399,534,468,576,663,749,782,807,888,920,1020,1000,964,799
Skipport Outer,(Ornish),Ornish Island,SKIO1,FS0531,,57.32828,-7.23149,,ODD,1710,78,1369,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,98,131,nan,204,nan,nan,269,nan,345,nan,484,nan,617,nan,773,nan,nan,1062,nan,nan,1245,nan,1321,nan,nan,1227,nan,nan,1255,nan,nan,nan,1188,nan,nan,881,nan,nan,467,nan,262,nan,nan,nan,nan,8,nan,nan,46,nan,116,nan,129,nan,nan,211,nan,328,nan,413,nan,nan,nan,488,nan,597,nan,nan,752,nan,883,1084,1038,1145,1210,1175,1103,1136,1100,793,485,403,330,171,nan,nan,nan,404,478,554,636,683,772,nan,700,838,920,1026,1036,975,1140,nan,1107,916,650,596,660,732,845,1053,1051,1090,957,737,736,nan,nan,nan,329,330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,61,89,140,268,449,660,913,1162,nan,1331,nan,1506,1596,1708,1659,1697,1621,1328,1250,617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109,159,230,319,402,499,634,781,943,1141,1358,1429,1292,1069,1078,695,578,nan,nan,nan,nan,131,225,319,405,489,604,721,829,1028,1296,1431,1455,1437,1653,1562,1363,221,nan,nan,nan,nan,23,38,72,117,207,292,416,569,703,872,1034,1202,1338,1329,1427,1702,1654,1645,1880,1908,1707,1482,1369,676,nan,nan,148,146,nan,nan,71,109,179,275,388,506,643,883,1170,1490,1816,2030,2036,1847,1901,738,78,94,177,237,340
Soay Sound,,Soay,SOAY1,FS0646,,57.94474,-6.96284,,EVEN,2012.5,186,1699,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,71,104,nan,155,nan,nan,193,nan,289,nan,408,nan,496,nan,625,nan,nan,860,nan,nan,1000,nan,1147,nan,nan,1176,nan,nan,1139,nan,nan,nan,1178,nan,nan,1176,nan,nan,966,nan,725,nan,466,nan,nan,358,nan,nan,379,nan,nan,nan,nan,nan,nan,41,nan,52,nan,60,nan,nan,nan,90,nan,138,nan,nan,189,nan,251,332,452,603,780,958,1130,1376,1406,1503,1291,1038,852,842,595,375,nan,nan,nan,49,92,119,163,nan,226,282,380,493,576,738,922,nan,1039,1176,1302,1443,1553,1541,1461,1251,894,910,495,nan,nan,104,221,293,440,637,807,911,635,801,1137,1322,1634,nan,1874,2142,2248,2295,2285,2169,2295,1802,1433,563,nan,70,170,296,384,nan,436,515,681,830,1096,1564,1957,2286,2271,2298,nan,2228,nan,2179,2190,2272,1961,860,nan,nan,nan,nan,122,205,324,480,665,896,1154,1176,1218,1490,1704,2136,2216,2178,1584,1609,1591,1068,300,nan,nan,nan,nan,nan,44,98,158,228,299,394,537,703,907,1317,1694,1836,1750,2067,2014,1950,1931,2035,1038,510,502,nan,nan,nan,91,145,211,285,330,400,518,606,732,981,1253,1289,1419,1633,1649,1607,1669,1342,1037,nan,nan,nan,63,127,204,322,493,687,861,1036,1166,1411,1685,1716,1705,1590,1300,1236,1035,749,nan,73,110,186,269,396,600,801,989,1137,1293,1440,1633,1775,1798,1699,1671,778,nan,nan,nan,302,1201,1356,1532,1646,1569,128,nan,nan,nan,nan
Sound of Harris,(Groay-Lingay),Sound of Harris,GRL1,FS1260,,57.7051,-7.02203,,ODD,2132,78,1358,Loch Duart Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59,86,118,202,310,425,587,761,958,1178,1289,1369,1360,1244,1178,1030,1021,1044,1199,1304,1311,1090,727,419,22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,56,113,156,246,410,559,717,859,997,1215,1383,1497,1497,1432,1448,1422,1451,1328,1142,875,640,480,196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51,86,102,171,285,398,572,741,923,1133,1271,1465,1621,1572,1426,1573,1564,1420,1288,1133,904,837,202,29,62,78,115,157,280,436,483,537,543,734,815,965,1162,1358,1382,1303,1237,840
Sron,,Loch Alsh (Sron),SRO1,FS0016,,57.26714,-5.67743,,EVEN,2500,338,1193,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,611,652,nan,747,nan,nan,743,nan,737,nan,747,nan,747,nan,744,nan,nan,749,nan,nan,750,nan,642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,nan,25,nan,42,nan,nan,83,nan,nan,140,nan,250,nan,346,nan,nan,449,nan,551,nan,642,nan,nan,nan,715,nan,722,nan,nan,741,nan,754,748,786,712,695,654,660,283,nan,nan,27,46,66,111,174,252,nan,358,451,496,539,586,676,nan,nan,815,731,737,746,710,767,nan,684,481,159,nan,nan,33,46,69,102,168,240,354,461,560,699,846,928,1034,1158,1244,1298,1322,1327,1219,1074,nan,646,nan,nan,nan,nan,35,72,139,242,426,626,867,1016,1065,1116,nan,1219,1259,1221,1218,1290,1298,1286,1299,1299,1262,nan,583,nan,nan,nan,nan,38,89,151,269,467,747,1097,1382,1600,1713,1857,1907,1999,1925,1994,1386,1429,911,nan,nan,nan,nan,47,66,117,192,280,435,696,1075,1285,1563,1780,1947,1995,1986,1996,1578,1435,nan,nan,nan,nan,nan,nan,nan,105,155,239,355,485,687,1010,1399,1656,1942,1932,1998,1993,1833,1611,1035,866,nan,nan,nan,nan,141,264,441,644,917,1193,1469,1648,1823,1943,1962,1976,1575,615,832,926,1002,1025,1069,1045,962,361,nan,nan,nan,nan,66,96,158,236,339,465,686,974,1303,1617,1963,2269,2286,2138,1865,1809,1193,914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,341,870,1230
St Molios,,Lamlash,FFMC02,FS0423,,55.5173,-5.09816,,ODD,1154,120,878,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,59,78,nan,97,nan,nan,98,nan,141,nan,211,nan,294,nan,419,nan,nan,488,nan,nan,540,nan,717,nan,nan,882,nan,nan,1014,nan,nan,nan,1127,nan,nan,1108,nan,nan,1166,nan,1086,nan,1156,nan,nan,977,nan,nan,960,nan,1029,nan,788,nan,nan,543,nan,nan,nan,nan,nan,nan,nan,53,nan,72,nan,nan,97,nan,144,249,350,471,621,793,975,967,1076,1170,960,820,894,1042,799,811,nan,678,494,184,nan,19,61,nan,83,134,174,nan,361,715,622,nan,802,900,1047,1104,1234,1322,1393,1274,1337,1361,1339,313,332,163,91,271,342,403,498,427,457,535,606,687,85,nan,85,nan,nan,34,69,104,155,229,353,533,743,895,1055,1259,922,nan,971,991,992,1038,1022,1013,645,661,661,nan,nan,nan,nan,nan,nan,38,45,75,130,198,283,379,105,112,168,194,233,356,416,480,567,424,346,318,372,372,nan,nan,nan,15,15,nan,nan,nan,nan,29,53,105,178,178,nan,nan,37,62,110,191,296,388,473,599,672,709,791,843,970,800,927,936,739,159,nan,nan,nan,nan,22,47,80,126,208,329,460,610,711,865,953,1048,1060,752,847,890,795,683,512,82,nan,nan,nan,nan,16,68,89,137,204,362,509,782,510,572,660,837,886,906,986,1030,1039,919,72,nan,nan,nan,nan,nan,nan,46,78,120,199,342,496,769,804,909,987,1012,1042,1058,843,878,655,836,725,307
Stoull,(Nevis B),Nevis B,STOU1,FS0616,,56.99375,-5.70735,,ODD,1500,414,1257,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1318,nan,1334,nan,nan,1086,nan,nan,1203,nan,1357,nan,nan,1415,nan,nan,1046,nan,nan,nan,418,nan,nan,nan,nan,nan,43,nan,67,nan,112,nan,nan,191,nan,nan,283,nan,339,nan,546,nan,nan,771,nan,945,nan,623,nan,nan,nan,706,nan,924,nan,nan,1034,nan,1044,1216,1310,1459,1467,1053,976,826,797,108,nan,26,54,81,135,207,nan,256,347,439,709,885,549,nan,695,848,1048,1351,1450,1122,1089,nan,991,1072,983,872,690,211,nan,nan,nan,nan,nan,nan,nan,nan,467,539,609,720,847,1046,1080,853,518,309,411,nan,190,114,7,nan,nan,26,45,80,146,227,365,500,624,736,821,nan,916,960,1110,1123,1179,1152,1199,1015,646,473,nan,219,nan,167,nan,16,37,69,106,185,311,448,616,766,926,1041,1171,1330,1357,1190,1162,1232,1015,807,609,525,281,nan,nan,nan,17,36,53,104,221,328,416,568,661,768,851,993,1205,1376,1470,1483,1332,1095,26,25,63,101,159,253,366,543,644,789,1064,1252,1344,1358,1201,1208,703,691,nan,17,68,116,182,308,374,478,567,646,680,734,906,933,1004,1095,1056,860,623,108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66,102,194,276,414,520,648,860,1034,1163,1318,1230,1332,1451,1432,1311,1257,1101,583,nan,nan
Strondoir Bay,,Strondoir Bay,FFMC70,FS1019,,55.96162,-5.43622,,EVEN,1767.4,1287,1183,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,865,nan,868,nan,nan,815,nan,nan,891,nan,nan,nan,844,nan,nan,834,nan,nan,848,nan,452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49,nan,nan,85,nan,120,nan,182,nan,nan,nan,252,nan,329,nan,nan,441,nan,646,382,474,546,680,922,870,929,856,860,621,617,506,420,648,nan,nan,nan,28,95,127,181,280,nan,401,543,407,505,624,772,880,nan,956,906,893,937,886,851,431,444,321,260,284,98,98,nan,nan,nan,nan,nan,nan,nan,442,635,812,988,1190,nan,1343,1625,1657,1343,1416,1413,764,177,nan,nan,60,111,193,333,454,nan,555,658,820,952,1122,710,876,1127,1124,1338,nan,1264,nan,1281,855,689,136,136,nan,nan,nan,33,55,101,161,231,286,374,482,598,762,943,1045,1058,1262,898,482,715,740,702,754,498,498,nan,nan,8,25,52,82,118,158,193,265,355,451,563,629,813,989,1130,1081,1079,1179,1165,939,390,390,nan,nan,24,52,92,149,248,300,381,475,556,718,883,988,1098,1031,1125,1205,1242,1078,888,460,nan,nan,nan,13,56,114,190,321,480,630,764,911,1120,1215,1096,1193,1406,1496,1495,1572,1561,1012,940,542,130,nan,nan,nan,42,105,169,282,431,594,776,976,1287,1573,1658,1734,1316,1182,1173,1003,1034,1103,1113,1148,1183,1057,504,nan,nan
Strone Point,,Strone,FFMC77,FS1056,,55.90681,-5.07043,,EVEN,1986,137,1913,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,nan,53,nan,70,nan,nan,98,nan,nan,184,nan,295,nan,352,nan,nan,420,nan,495,nan,439,nan,nan,nan,490,nan,556,nan,nan,620,nan,703,764,667,475,528,210,244,309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,529,526,445,509,564,nan,413,485,524,446,432,458,417,nan,192,192,150,174,201,206,241,325,371,371,nan,nan,nan,56,80,112,157,242,349,502,155,229,335,447,357,nan,389,347,nan,nan,23,81,147,232,360,522,219,287,355,449,507,nan,839,847,892,940,727,498,460,90,nan,nan,nan,nan,nan,nan,nan,28,67,110,169,239,354,473,643,634,756,894,902,802,783,786,690,790,356,356,nan,nan,nan,nan,nan,nan,30,45,73,130,220,328,447,583,nan,949,1052,1216,1392,1499,1670,1588,914,914,nan,nan,nan,nan,nan,25,80,119,200,337,523,747,926,935,1150,1214,1353,1357,1266,997,818,820,756,252,nan,nan,nan,nan,nan,50,104,168,262,434,602,808,894,869,945,1042,1177,1374,1564,1749,1579,1419,1241,388,nan,nan,nan,nan,nan,42,90,137,220,417,531,791,885,956,1166,1576,1779,1851,1882,1913,1981,1888,1209,155,nan,nan,nan,nan,nan,25,88,154,260,466,734,1131
Stulaigh Island,,Stulaigh,STI1,FS1259,,57.19762,-7.25761,,EVEN,2850,1873,975,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61,89,156,296,605,861,1102,1386,1714,1976,2077,2170,2002,1755,1467,913,872,280,nan,30,40,65,125,187,248,342,477,723,980,1298,1317,1510,1654,1627,1754,1553,1456,1319,1324,1241,1084,nan,126,249,410,586,726,946,1154,1208,1278,1644,2045,2238,2381,2464,2233,2457,2391,1976,898,178,nan,nan,nan,nan,nan,24,142,220,348,490,656,820,1015,1241,1544,1946,2330,2401,2494,2464,2281,2426,2473,975,nan,nan,108,251,419,614,887,1172,1459,1746,1983,1873,2144,2282,2165,352,678,836,1026,1241,1490,1622,1581,1396,340,nan,nan,nan
Tabhaigh,,Tabhaigh,TAB1,FS1297,,58.12098,-6.38947,,ODD,2500,1296,0,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,376,510,726,993,1162,1294,1596,1837,1966,1940,1597,1459,602,nan,114,175,306,495,720,924,1121,1260,1549,1912,2131,1967,1910,1304,1229,911,nan,nan,nan,nan,nan,nan,nan,65,111,184,312,467,658,773,959,1188,1382,1639,1882,2200,2212,974,774,760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1296,1536,1646,1783,2190
